name,author,press,year,price,score,num,quote
人生的智慧,[德] 阿图尔·叔本华, 上海人民出版社 , 2008, 28.00,9.2,14659,对世俗、实用问题深刻而透彻的讨论
美的历程,李泽厚, 生活·读书·新知三联书店 , 2009, 43.00,9.2,14608,中国美学经典之作
孩子你慢慢来,龙应台, 生活·读书·新知三联书店 , 2009, 28.00,8.8,59430,我们现在怎样做母亲
國史大綱（上下）,錢穆, 2013-8 , 76.00元,0,9.3,11753,钱穆中国通史
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森, 中信出版社 , 2011, 68.00,8.7,45742,完美主义者的最高形态
彷徨,鲁迅, 人民文学出版社 , 1973年3月 , 0.37,8.9,19963,路漫漫其修远兮，吾将上下而求索
爱的艺术,[美] 艾·弗洛姆, 上海译文出版社 , 2008, 15.00,8.8,27378,谦恭地、勇敢地、真诚地和有纪律地爱他人
鼠疫,(法)阿尔贝·加缪, 上海译文出版社 , 2013, 34.00,9.1,17709,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
苏菲的世界,[挪] 乔斯坦·贾德, 作家出版社 , 2007, 26.00,8.8,34356,哲学启蒙书
野草,鲁迅, 人民文学出版社 , 1973, 0.20,9.3,10295,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
"我也有一个梦想

                
                   : 近距离看美国之三",林达, 生活·读书·新知三联书店 , 2004, 25.00,9.0,12636,在法治国家里，民众怎样运用法律
九州·缥缈录,江南, 人民文学出版社 , 2015, 198.00,8.9,3522,一轴腥风血雨的乱世长卷，中国版《冰与火之歌》
